mode,impact_category,unit,result_per_pkm
sbahn_green,Eutrophication freshwater,kg P eq,8.049723465753483e-07
sbahn_green,Eutrophication marine,kg N eq,6.978112083500532e-07
sbahn_green,Eutrophication terrestrial,mol N eq,7.2909359862673344e-06
sbahn_green,Human toxicity cancer,CTUh,7.682508443665446e-13
sbahn_green,Human toxicity cancer (inorganics),CTUh,4.010158935724907e-13
sbahn_green,Human toxicity cancer (organics),CTUh,3.672349507940536e-13
sbahn_green,Human toxicity non-cancer,CTUh,2.5716108022115903e-11
sbahn_green,Human toxicity non-cancer (inorganics),CTUh,2.3521477679903075e-11
sbahn_green,Human toxicity non-cancer (organics),CTUh,2.194630342193207e-12
sbahn_green,Ionising radiation (human health),kBq U235 eq,0.000454436160050776
sbahn_green,Land use,dimensionless (pt),0.00982647340976432
sbahn_green,Ozone depletion,kg CFC11 eq,1.883030995234189e-09
sbahn_green,Particulate matter,disease incidence,1.190852370657701e-10
sbahn_green,Photochemical ozone formation (human health),kg NMVOC eq,3.1603001238489686e-06
sbahn_green,Resource use fossils,MJ (net calorific),0.011499831931627772
sbahn_green,Resource use minerals and metals,kg Sb eq,1.790651975591326e-08
sbahn_green,Water use,m3 world eq,0.00010822699833923366
tram_conv,Acidification,mol H+ eq,7.341604358661143e-05
tram_conv,Climate change,kg CO2 eq,0.04435551064297591
tram_conv,Climate change (biogenic),kg CO2 eq,0.000581717681638359
tram_conv,Climate change (fossil),kg CO2 eq,0.04375791011899497
tram_conv,Climate change (land use),kg CO2 eq,1.58828423425799e-05
tram_conv,Ecotoxicity freshwater,CTUe,0.06112665737112882
tram_conv,Ecotoxicity freshwater (inorganics),CTUe,0.05992773349895876
tram_conv,Ecotoxicity freshwater (organics),CTUe,0.0011989238721700655
tram_conv,Eutrophication freshwater,kg P eq,4.850526682674016e-05
tram_conv,Eutrophication marine,kg N eq,2.6686863609451755e-05
tram_conv,Eutrophication terrestrial,mol N eq,0.00020019627616421615
tram_conv,Human toxicity cancer,CTUh,4.498016749104886e-11
tram_conv,Human toxicity cancer (inorganics),CTUh,4.01251662321553e-12
tram_conv,Human toxicity cancer (organics),CTUh,4.0967650867833337e-11
tram_conv,Human toxicity non-cancer,CTUh,2.699896920545726e-10
tram_conv,Human toxicity non-cancer (inorganics),CTUh,2.5427612691330534e-10
tram_conv,Human toxicity non-cancer (organics),CTUh,1.5713565141178505e-11
tram_conv,Ionising radiation (human health),kBq U235 eq,0.008909808363667608
tram_conv,Land use,dimensionless (pt),0.18908412007122533
tram_conv,Ozone depletion,kg CFC11 eq,2.558137846219282e-09
tram_conv,Particulate matter,disease incidence,5.108204505489875e-10
tram_conv,Photochemical ozone formation (human health),kg NMVOC eq,7.43311019663735e-05
tram_conv,Resource use fossils,MJ (net calorific),0.52329897017336
tram_conv,Resource use minerals and metals,kg Sb eq,9.403313727763665e-08
tram_conv,Water use,m3 world eq,0.005128054476449151
tram_green,Acidification,mol H+ eq,2.214136264467329e-05
tram_green,Climate change,kg CO2 eq,0.003901141762640497
